id ,kalimat,pasien,usia pasien,penyakit,gejala,kapan,periode,tindakan,outcome,pertanyaan,pembuka,penyebab,prakondisi,objek,penutup,referensi,artikel,observasi
1,"Dok kemarin malam tiba-tiba anak saya usia 6 tahun panas dingin, sebelumnya dia memang sudah batuk dan flu. ",1,1,1,1,1,,,,,,,,,,,,
2,baru malam ini panas dingin.,,,,1,1,,,,,,,,,,,,
3,obatnya apa ya dok? ,,,,,,,,,1,,,,,,,,
4,mohon bantuannya ya terima kasih,,,,,,,,,,,,,,,,,
5,"Alo, Terima kasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
6,Batuk dan flu dan panas dingin dapat disebabkan oleh banyak kemungkinan hal penyebab.,,,1,1,,,,,,,,,,,,,
7,"Berdasarkan dari riwayat keluhan yang Anda sampaikan, berikut beberapa kemungkinan penyebab hal tersebut: Batuk pilek biasa, Influenza, Radang tenggorokan, Covid-19.",,,,,,,,,,,1,1,,,,,
8,Terdapat beberapa anjuran yang dapat dilakukan untuk meringankan keluhan anak Anda.,,,,,,,,,,,,,,,,,
9,"Namun, apabila keluhan tidak membaik dalam 2-3 hari ke depan atau",,,,,,1,,,,,,1,,,,,
10," keluhan disertai dengan demam tinggi, sesak napas, batuk berdarah, penurunan BB, anak tampak sangat lemas atau sangat rewel, dll, periksakanlah anak ke dokter spesialis anak, ya.",,,,1,,,1,,,,,,,,,,
11,Dokter akan melakukan evaluasi lebih lanjut terkait dengan kondisi Anda ,,,,,,,1,,,,,,,,,,
12,dan memberikan terapi yang sesuai. ,,,,,,,1,,,,,,,,,,
13,"Untuk sementara waktu, berikut beberapa anjuran yang dapat dilakukan, seperti:",,,,,,,,,,,,,,1,,,
14,"Meminum obat pereda demam apabila suhu di atas 37,5 derajat Celsius.",,,,,,,1,,,,,1,1,,,,
15,Memberikan obat batuk yang dapat dibeli di apotek.,,,,,,,1,,,,,,1,,,,
16,Memberikan uap hangat.,,,,,,,1,,,,,,1,,,,
17,Minum air hangat minimal 1 liter per hari.,,,,,,,1,,,,,,1,,,,
18,Berkumur dengan larutan antiseptik atau larutan garam.,,,,,,,1,,,,,,1,,,,
19,Semoga informasi ini dapat membantu dan semoga lekas sembuh ya. Salam.,,,,,,,,,,,,,,1,,,
20,"Hallo dok, saya seorang Ibu dari anak usia 5,6 tahun mau bertanya dok",1,1,,,,,,,,,,,,,,,
21,"anak saya ini sering sekali mengalami batuk dan pilek, sehingga 1 bulan bisa 2-3 kali ke dokter dan di beri obat antibiotik terus setiap ke dokter",,,1,,,1,1,1,,,,,1,,,,
22,pertanyaan saya apakah aman penggunaan antibiotik yang berturut-turut,,,,,,,,,1,,,,1,,,,
23,"serta apa yang menyebabkan anak sering mengalami batuk pilek, padahal tidak dekat2 dengan orang yang sedang batuk pilek",,,,,,,,,1,,,1,,,,,
24, apakah ada pengaruh dari susu formula dan keju?,,,,,,,,,1,,,,1,,,,
25,"karena anak saya suka sekali keju.. tapi begitu batuk saya stop konsumsi keju, tapi masih tetap saja batuk.",,,,,,,1,1,,,,,,,,,
26,tolong pencerahannya ya dok.. terima kasih,,,,,,,,,,,,,,,,,
27,"Alo, terimakasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
,"Batuk dan pilek kemungkinan penyebabnya bisa banyak, misalnya karena alergi (seperti terhadap dingin, makanan, serbuk sari, bulu hewan),",,,1,,,,,,,,1,,1,,1,,
,"kontak dengan iritan (seperti asap, debu, udara kering),",,,,,,,,,,,1,,1,,,,
,"infeksi virus atau bakteri (termasuk COVID-19),",,,,,,,,,,,1,,1,,,,
,"refluks asam lambung ke tenggorokan,",,,,,,,,,,,1,,1,,,,
,"tenggorokan kering, gangguan imunitas,",,,,,,,,,,,1,,,,,,
28,"sensitifitas berlebih terhadap obat tertentu, ",,,,,,,,,,,1,,1,,,,
,bahkan mungkin tumor jinak atau ganas di sekitar saluran pernapasan.,,,,,,,,,,,1,,1,,,,
29,"Kondisi anak Anda yang sering mengalami batuk dan pilek bisa terjadi karena beragam pencetus, misalnya daya tahan tubuhnya yang lemah",,,1,,,,,,,,1,,,,,,
30,"lingkungannya yang kurang bersih,",,,,,,,,,,,1,,,,,,
31,"kontak dekat dengan penderita batuk dan pilek lain, atau lainnya.",,,,,,,,,,,1,,,,,,
32,"Tentu, mengingat penyebab batuk dan pilek ada banyak, maka penyebab sering sakitnya anak Anda juga tidak bisa digeneralisasikan seperti ini.",,,,,,,1,,,,,,,,,,
33,"Yang jelas, dokter yang bijak hanya akan memberikan antibiotik jika memang beliau yakin batuk dan pileknya muncul terkait infeksi bakteri. ",,,1,,,,1,,,,,1,,,,,
34,"Dan jika memang ada indikasi medis tepat yang mendasari, konsumsi antibiotik ini semestinya tidak berbahaya.",,,,,,,1,,,,,1,,,,,
35,"Saran kami, agar anak Anda tidak lagi sering batuk dan pilek, lakukanlah dulu:",,,,,,,,,,,,,,1,,,
36,"Mandikan ia dengan air hangat, jaga selalu tubuh anak Anda dan lingkungan sekitarnya agar bersih",,,,,,,1,,,,,,1,,,,
37,Jauhkan ia dari hal-hal penyebab alergi dan iritasi (seperti telah kami singgung di atas),,,,,,,1,,,,,,1,,,,
38,"Beri ia makan makanan dengan gizi seimbang, lengkap dengan buah yang mengandung kaya vitamin C dan antioksidan lainnya,",,,,,,,1,,,,,,1,,,,
39,"batasi kebiasaan memberinya makan es dan goreng-gorengan,",,,,,,,1,,,,,,1,,,,
40,jauhkan juga ia dari pemanis buatan dan makanan yang terlalu berampas,,,,,,,1,,,,,,1,,,,
41,"Beri anak banyak minum air hangat, bisa juga ditambah perasan lemon atau jahe saat sedang kambuh batuk dan pileknya,",,,,,,,1,,,,,1,1,,,,
42,"batasi pemberian cokelat, susu, dan dairy product",,,,,,,1,,,,,,1,,,,
43,"Ajarkan anak istirahat cukup, ",,,,,,,1,,,,,,,,,,
44,"berolahraga, dan menerapkan pola hidup sehat sedari kecil",,,,,,,1,,,,,,,,,,
45,"Ingatkan ia untuk selalu menggunakan masker, rajin mencuci tangan, dan jaga jarak dengan orang lain jika sedang beraktifitas di luar rumah atau di lingkungan ramai",,,,,,,1,,,,,,,,,,
46,"Beri anak vaksinasi lengkap sesuai anjuran dokter, termasuk vaksin influenza",,,,,,,1,,,,,,1,,,,
47,"Lebih lanjut, jika kondisi anak Anda belum tampak membaik,",,,,,,,,,,,,1,,,,,
48,"apalagi malah muncul sesak, demam, ingus kekuningan atau kehijauan, mengi, nyeri dada, muntah, dan keluhan lain yang berat,",,,,1,,,,,,,,1,,,,,
49,"sebaiknya ia diperiksakan langsung saja ke dokter, dokter THT, atau dokter anak terdekat ya..",,,,,,,1,,,,,,,,,,
50,"Selamat malam dok, Saya habis memeriksakan anak saya yang berusia 5 bulan 10 hari karena batuk pilek dan demam.",1,1,1,1,,,,,,,,,,,,,
51,kemudian dkasih resep Pacdin Cough sirup sekali minum 5ml setelah dibuka dirumah ternyata ada tulisan untuk 1 th ke atas.,,,,,,,1,,,,,1,,,,,
52,apakah aman jika dikonsumsi bayi usia 5 bulan 10 hari Terima kasih.,,,,,,,,,1,,,,,,,,
53,"Halo, terima kasih sudah bertanya di Alodokter.",,,,,,,,,,1,,,,,,,
54,"Penyebab demam, batuk, dan pilek pada bayi dapat disebabkan oleh beberapa kemungkinan seperti : Peradangan / infeksi pada saluran pernapasan yang disebabkan oleh infeksi virus dan bakteri",,,1,,,,,,,,1,,1,,,,
55,"Peradangan pada tenggorokan, Alergi",,,,,,,,,,,1,,,,,,
56,"tumbuh gigi, biasanya pada masa ini (gigi pertama pada bayi akan tubuh pada usia 4-6 bulan), dan biasanya akan mengalami demam, rewel, gusi bengkak, ruam di sekitar mulut, air liur menetes",,,,1,,1,,,,,1,,,,,,
57,dan kemungkinan lainnya.,,,,,,,,,,,1,,,,,,
58,"Bila Anda saat ini sudah melakukan pemeriksaan dokter secara langsung dan sudah diberikan pengobatan, maka sebaiknya Anda untuk mengikuti anjuran dari dokter pemeriksa Anda ya.",,,,,1,,1,,,,,1,,,,,
59,Hal ini disebabkan karena dokter Anda sudah mempertimbangkan sesuai dengan kondisi anak Anda. ,,,,,,,,,,,,1,,,,,
60,Pantau terus kondisi anak Anda ,,,,,,,1,,,,,,,,,,
61,"dan bila kondisi ini bertambah berat, batuk dan demam menetap dan berkepanjangan, anak tidak mau menyusu, timbul ruam kemerahan pada sekujur tubuh, anak lemas, maka sebaiknya untuk segera ke rumah sakit terdekat ya.",,,,1,,,1,,,,,1,,,,,
62,"Berikanlah asupan nutrisi yang baik misalnya melalui ASI,",,,,,,,1,,,,,,1,,,,
63,"pastikan anak Anda tidak kekurangan cairan,",,,,,,,1,,,,,,,,,,
64," mengompres hangat bila demam,",,,,,,,1,,,,,1,,,,,
65,"hindarilah faktor pencetus alergi, ",,,,,,,1,,,,,,,,,,
66,"rutin membersihkan puting susu, ",,,,,,,1,,,,,,1,,,,
67,bila ibu sedang mengalami flu / pilek dan saat memberikan ASI agar menggunakan masker.,,,,,,,1,,,,,,1,,,,
68,Semoga dapat bermanfaat ya.,,,,,,,,,,,,,,1,,,
69,dokter anak saya umur 15 bulan. sering sekali batuk pilek,1,1,1,,,,,,,,,,,,,,
70,apakah harus ditambah vaksin influenza ya dokter ?,,,,,,,,,1,,,,,,,,
71,apabila perlu memang masih bisa atau tidak terlambat untuk vaksin,,,,,,,,,1,,,,,,,,
72,"Alo, terimakasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
73,"Batuk dan pilek pada anak bisa banyak kemungkinan penyebabnya, contohnya karena infeksi, alergi, paparan udara dingin atau iritan tertentu, gangguan imunitas, dan sebagainya.",,,1,,,,,,,,1,,,,,,
74,"Ada beragam cara yang bisa dilakukan guna melindungi anak dari batuk dan pilek berulang, yakni:",,,1,,,,,,,,,,,,,,
75,Jaga tubuh dan lingkungan sekitarnya agar tetap bersih,,,,,,,1,,,,,,,,,,
76,"Jangan biarkan ia berkontak dengan udara dingin yang berlebihan, debu, asap rokok, polusi, dan hal-hal yang mungkin membuatnya alergi",,,,,,,1,,,,,,1,,,,
77,Perbaiki pencahayaan dan sirkulasi udara di tempat tinggal anak,,,,,,,1,,,,,,,,,,
78,"Batasi pemberian es, makanan berminyak, serta berpemanis buatan",,,,,,,1,,,,,,1,,,,
79,Pastikan orang yang berkontak dekat dengan anak dalam kondisi sehat dan bersih tubuhnya,,,,,,,1,,,,,1,,,,,
80,"Tingkatkan daya tahan tubuh anak dengan membiasakannya tidur cukup, memberinya makan makanan bergizi seimbang, serta mengajarkannya gaya hidup sehat sejak kecil",,,,,,,1,,,,,,,,,,
81,Pemberian vaksin influenza bisa membantu meningkatkan kekebalan anak terhadap infeksi virus Influenza.,,,,,,,1,,,,,,1,,,,
82,"Sebagaimana diketahui, virus ini merupakan salah satu penyebab tersering batuk dan pilek.",,,,,,,,,,,1,,1,,,,
83,"Vaksin influenza bisa diberikan sebanyak 2 dosis dengan jeda setidaknya 4 minggu, lantas diulangi setiap tahunnya.",,,,,,1,,,,,,,1,,,,
84,"Akan tetapi, perlu juga dipahami, bahwa jika pada dasarnya ada faktor lain yang membuat anak Anda batuk dan pilek (misalnya karena alergi), tentu pemberian vaksin ini saja tidaklah cukup.",,,1,,,,,,,,1,,,,,,
85,Anda perlu juga disiplin menjalani beragam upaya di atas supaya anak Anda tidak berulang terus batuk dan pileknya.,,,1,,,,1,,,,,,,,,,
86,Diskusikan kembali hal ini dengan dokter atau dokter anak terdekat ya..,,,,,,,1,,,,,,,,1,,
87,Semoga membantu.,,,,,,,,,,,,,,1,,,
88,"Halo dokter,anak saya usia 22 bulan,dia mengalami pilek tanpa batuk.",1,1,1,,,,,,,,,,,,,,
89,"Setelah 2 hari saya pun membelikannya obat,namun yang di berikan oleh dokter tersebut obat batuk pilek.",,,,,1,,1,1,,,,,,,,,
90,Setelah meminum obat itu anak saya jadi batuk dokter.,,,,,1,,1,1,,,,,,,,,
91,"Apakah hal itu baik atau berbahaya bagi kesehatan anak saya dok,?",,,,,,,,,1,,,,,,,,
92, Apa yang harus saya lakukan?,,,,,,,,,1,,,,,,,,
93,Trimakasih dokter.,,,,,,,,,,,,,,,,,
94,"Alo, Terima kasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
95,Pilek yang disertai dengan batuk merupakan keluhan yang relatif umum terjadi pada anak berusia 22 bulan.,,,1,,,,,,,,,,,,,,
96,"Berdasarkan dari riwayat keluhan yang Anda sampaikan, terdapat beberapa kemungkinan penyebab dari keluhan tersebut, seperti: Batuk pilek biasa.Influenza.Covid-19.Reaksi alergi.",,,,,,,,,,,1,1,,,,,
97,"Terdapat beberapa anjuran yang dapat Anda lakukan untuk membantu meringankan keluhan,",,,,,,,,,,,,,,1,,,
98,"seperti memberikan anak obat yang sudah diresepkan oleh dokter,",,,,,,,1,,,,,,1,,,,
99,"memberikan anak uap hangat untuk melegakan saluran napas,",,,,,,,1,,,,,,1,,,,
100,"mencukupi kebutuhan nutrisi dan cairan anak, ",,,,,,,1,,,,,,,,,,
101,serta memonitor keluhan lain yang muncul.,,,,,,,1,,,,,,,,,,
102,"Apabila obat dari dokter tidak memberikan perbaikan gejala dan memperparah batuk dan keluhan tidak membaik dalam 5 hari ke depan, sebaiknya lakukanlah pemeriksaan follow up evaluasi ke dokter spesialis anak ya",,,,,,1,1,,,,,1,,,,,
103,"Dokter akan menanyakan riwayat keluhan secara lengkap, ",,,,,,,1,,,,,,,,,,
104,"melakukan pemeriksaan fisik, dan pemeriksaan penunjang yang relevan sehingga dokter dapat menentukan penyebab kondisi yang anak Anda alami dan memberikan terapi yang sesuai.",,,,,,,1,1,,,,,,,,,
105,Semoga informasi ini dapat membantu dan semoga lekas sembuh ya. Salam.,,,,,,,,,,,,,,1,,,
106,"Dok saya mau bertanya. Anak saya umur 19 BulanBatuk dan muntah dari 2 minggu yg lalu,",1,1,1,1,1,,,,,,,,,,,,
107,sebelumnya setelah satu minggu saya bawa ke puskesmas di lab juga.,,,,,1,,1,,,,,,,,,,
108,Setelah di kasih resep cuma 4 hari batuk dan muntahnya kembali lagi.,,,,,,,1,1,,,,,,,,,
109,Sekarang demam juga,,,,1,1,,,,,,,,,,,,
110,bagaimana ya dok kira2 solusinya?,,,,,,,,,1,,,,,,,,
111,"Alo, terima kasih ya sudah bertanya di Alodokter.",,,,,,,,,,1,,,,,,,
112,"Membaca keluhan yang dialami oleh anak anda saat ini, ada baiknya anda kembali membawa anak anda ke dokter untuk dievaluasi ulang secara langsung, boleh ke dokter umum atau langsung ke dokter spesialis anak.",,,,,1,,1,,,,,1,,,,,
113,"Hal ini dianjurkan karena keluhan kembali berulang meskipun sudah diberikan obat, sehingga perlu dievaluasi kembali apakah ada kondisi lain yang menyebabkan keluhan atau terjadinya perburukan kondisi yang memerlukan tambahan obat.",,,,,,,1,,,,,1,,,,,
114,"Sebagai penanganan awal di rumah, anda dapat mencoba memberikan obat campuran batuk dan demam yang dijual bebas di pasaran (bertanda hijau / biru) dengan dosis sesuai kemasan hingga ada anjuran lain dari dokter yang menangani anak anda.",,,,,,,1,,,,,,1,,,,
115,"Anda juga disarankan melakukan kompres dingin di dahi, ketiak dan selangkangan ketika anak anda sedang demam.",,,,,,,1,,,,,1,,,,,
116,"Tidak disarankan anda memberikan obat mual muntah (bertanda merah) kepada anak anda tanpa adanya anjuran dokter, termasuk obat yang sebelumnya pernah diresepkan.",,,,,,,1,,,,,,1,,,,
117,"Selain mencoba mengonsumsi obat bebas, anda juga disarankan untuk selalu mengawasi kondisi anak anda ",,,,,,,1,,,,,,,,,,
118,"dan segera membawanya ke IGD rumah sakit bila tampak adanya tanda-tanda bahaya sepertianak tampak sesak, demam tinggi (39 derajat atau lebih), malas / sulit makan / minum, muntah-muntah sering, atau anak cenderung tertidur saja.",,,,1,,,1,,,,,1,,,,,
119,Semoga membantu.,,,,,,,,,,,,,,1,,,
120,"Selamat pagi dok, anak saya baru umur 1 bulan 20hari terkena flu,",1,1,1,,,,,,,,,,,,,,
121,hidungnya tersumbat sehingga dia susah minum asi dan bernafas krn bunyi grok grok saat pengambilan nafasnya.,,,,1,,,,,,,,,,,,,
122,"Sy dateng ke bidan dan diberi obat Pimacolin dan omemox amoxicillin dgn dosis masing2 1,25ml diminum 3x sehari.",,,,,,1,1,,,,,,1,,,,
123,"Anak saya sudah minum 2x, namun setelah suami sy cari tau obat tersebut termasuk obat keras, ",,,,,,,1,,,,,,,,,,
124,apa saya harus mengehentikan pemberian obat tsb atau melanjutkannya dok?,,,,,,,,,1,,,,,,,,
125,"Alo, terima kasih atas pertanyaannya untuk Alodokter,",,,,,,,,,,1,,,,,,,
126,"Batuk pilek pada bayi umumnya disebabkan oleh infeksi virus yang dapat sembuh dengan sendirinya seiring dengan peningkatan kekebalan tubuh melalui pemberian ASI,",,,1,,,,1,1,,,1,,,,,,
127,dimana tidak tepat jika langsung diobati dengan antibiotik seperti amoxicilin yang diperuntunkkan untuk infeksi bakteri.,,,,,,,,,,,,,,,,,
128,"Selain itu, memang pada bayi terutama pada usia di bawah 6 bulan, tidak direkomendasikan pemberian obat batuk pilek dan antibiotik terutama jika tidak melalui pemeriksaan dokter.",,,,,,,1,,,,,1,,,,,
129,"Maka dari itu, sebaiknya anda menghentikan pemberian obat ",,,,,,,1,,,,,,,,,,
130,"dan melakukan beberapa perawatan mandiri terlebih dahulu di rumah seperti dengan memastikan bayi banyak beristirahat, ",,,,,,,1,,,,,,,,,,
131,"posisikan kepala bayi lebih tinggi dari tubuhnya dengan menggunakan bantal tambahan, ",,,,,,,1,,,,,,,,,,
132,"oleskan minyak telon dengan menepuk punggung dengan lembut yang dapat membantu pengeluaran dahak,",,,,,,,1,1,,,,,1,,,,
133,"gunakanhumidifier untuk menjaga kelembaban udara di ruangan sekaligus membantu mengencerkan dahak atau lendir pada saluran napas, ",,,,,,,1,1,,,,,1,,,,
134,"gunakan alat penyedot ingus setelah menetesi hidung dengan cairan infus steril sedikit,",,,,,,,1,,,,,1,,,,,
135,perbanyak berikan ASI.,,,,,,,1,,,,,,1,,,,
136,"Anda perlu segera memeriksakan bayi anda ke dokter anak jika bayi anda demam lebih dari 39 C, batuk pilek tidak membaik selama 1 minggu, sesak napas atau napas berbunyi, tidak mau menyusu, muntah, atau diare.",,,,1,,,1,,,,,1,,,,,
137,"Demikian informasi yang dapat disampaikan, semoga bermanfaat. Terima kasih.",,,,,,,,,,,,,,1,,,
138,"Dok anak sy usia 16bulan, bapil sejak sebulan lalu. ",1,1,1,,,1,,,,,,,,,,,
139,udah diperiksa ke 2 bidan ktnya bapil biasa dan diresepkan obat.,,,,,,,1,1,,,,,,,,,
140,Batuk &hidung meler sudah reda tp skrg kok anak sy napas nya sperti terengah2 (sperti org habis lari) & suara msih bindeng(trtahan dihidung). ,,,1,1,1,,,,,,,1,,,,,
141,Seperti lendir masih ada ditengah antara hidung dan tenggorok.,,,,1,,,,,,,,,,,,,
142,"Ksian klo wkt makan, apalgi nyusu jd trganggu.",,,,,,,,,,,,,,,,,
143," Apakah ini normal dok, bapil sudh sebulan? ",,,,,,,,,1,,,,,,,,
144,Apakah kondisi anak sy itu tanda bapil sgera sembuh?,,,,,,,,,1,,,,,,,,
145,Tlog jwbnnya dok. Trimksih,,,,,,,,,,,,,,,,,
146,Terima kasih atas pertanyaannya.,,,,,,,,,,1,,,,,,,
147,"Batuk pilek dapat menjadi tanda adanya suatu infeksi saluran pernapasan, alergi, dan sebagainya.",,,1,,,,,,,,1,,,,,,
148,Pada keluhan yang ringan dapat membaik umumnya dalam waktu kurang dari 2 minggu apabila termasuk akut. ,,,,,,1,1,,,,,1,,,,,
149,"Namun, apabila lebih dari 2 minggu dapat menandakan suatu yang serius dan perlu diperiksa.",,,,,,,1,,,,,1,,,,,
150,"Terutama pada anak umumnya sulit untuk mengatakan keluhan yang dialami, berbeda dengan dewasa. ",,,,,,,,,,,,,,,,,
151,"Adanya batuk lama tersebut dapat menjadi tanda dari infeksi pada paru misalnya bronchiolitis, tuberkulosis atau lainnya.",,,1,,,,,,,,1,,,,,,
152,Terutama apabila ibu mengatakan bahwa napas menjdi ngos-ngosan perlu diperiksa lebih lanjut adakah gangguan oksigenasi yang ditandai dengan saturasi oksigen menurun.,,,,1,,,1,,,,,1,,,,,
153,Kondisi ini tidak dapat dikatakan normal karena perlu diperiksa lebih lanjut.,,,,,,,1,,,,,1,,,,,
154,Sebaiknya segera melakukan pemeriksaan ke dokter spesialis anak karena sudah diberikan obat dan keluhan tidak membaik dalam sebulan. ,,,,,,,1,,,,,1,,,,,
155,"Dokter perlu melakukan pemeriksaan lebih lanjut dari wawancara keluhan, pemeriksaan fisik, serta pemeriksaan penunjang misalnya rontgen ataupun laboratorium.",,,,,,,1,,,,,,,,,,
156,sebab itu sebaiknya memeriksa lebih lanjut agar dapat diberikan penanganan sesuai misalnya memerlukan antibiotik dan sebagainya.,,,,,,,1,1,,,,,,,,,
157,"Saat ini sebaiknya tetap memberikan ASI,",,,,,1,,1,,,,,,,,,,
158,"memberikan makanan bergizi, ",,,,,,,1,,,,,,,,,,
159,"menjaga kebersihan rumah, dan sebagainya.",,,,,,,1,,,,,,,,,,
160,"Terima kasih, semoga membantu.",,,,,,,,,,,,,,1,,,
161,"Hallo dok, selamat pagi, saya nada umur 23tahun.",1,1,,,,,,,,,,,,,,,
162,Dok saya mau bertanya. Mengapa saya kalo batuk ataupun pilek dan mengeluarkan dahak pasti menggumpal dan ada serpihan bercak merah darah dok?,,,,,,,,,1,,,,,,,,
163,Padahal saya rasa batuk saya gak sakit bahkan dahak disertai darah itu keluar nya ketika saya mengeluarkan lewat hidung dalam.,,,1,1,1,,,,,,,1,,,,,
164,Mohon penjelasannya dokğŸ™,,,,,,,,,,,,,,,,,
165,"Halo,",,,,,,,,,,1,,,,,,,
166,"Tim dokter kami telah menjawab pertanyaan serupa dengan keluhan Anda, Anda dapat menyimak diskusi serupa melalui tautan berikut:",,,,,,,1,,,,,,,,,,
167,Penyebab batuk berdahak yang disertai darah selama 4 minggu,,,,,,,,,,,,,,,1,,
168,Batuk disertai dahak ada bercak darah dan tenggorokan gatal,,,,,,,,,,,,,,,1,,
169,"Apabila Anda masih ingin berkonsultasi secara langsung dengan Dokter kami, silahkan mengunduh (download) dan login dengan Aplikasi Alodokter: Chat bersama Dokter di Android playstore.",,,,,,,1,,,,,1,,,,,
170,"Jika ada pertanyaan lanjutan / pertanyaan baru, silahkan klik Menu â€œBuat Pertanyaanâ€.",,,,,,,1,,,,,1,,,,,
171,Terima kasih.,,,,,,,,,,,,,,1,,,
